track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,playlist_stream_ratio
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2,2023,1,11,5724,44,721975598.0,119,108,254,29,22,122,D,Minor,78,50,63,27,0,9,5,7.92824579647358e-06
505,Arctic Monkeys,1,2007,4,20,13985,25,1217120710.0,30,80,588,1,1,140,,Major,52,20,85,0,0,7,5,1.1490232550557783e-05
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",4,2023,6,2,1051,16,109276132.0,31,37,31,0,189,140,,Major,63,22,54,46,0,12,8,9.617836766037802e-06
Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",3,2022,12,2,1682,46,276259178.0,24,90,30,1,176,119,C#,Minor,75,48,53,18,0,18,34,6.0884855018282865e-06
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",5,2023,5,22,182,8,54225632.0,3,88,1,0,52,110,G,Minor,76,96,72,32,0,9,4,3.356346312385995e-06
Perfect,Ed Sheeran,1,2017,1,1,16596,13,2559529074.0,7,0,"2,094",0,0,95,G#,Major,60,17,45,16,0,11,2,6.484005268228494e-06
Romantic Homicide,d4vd,1,2022,7,20,2335,23,681583126.0,82,55,50,0,9,132,F#,Major,56,20,55,45,1,32,3,3.4258477226444718e-06
Believer,Imagine Dragons,1,2017,1,31,18986,23,2594040133.0,250,121,"2,969",10,31,125,A#,Minor,77,74,78,4,0,23,11,7.31908491255405e-06
Novo Balanï¿½,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",4,2023,5,19,283,7,81102253.0,6,9,26,1,66,124,D#,Minor,84,65,50,67,0,13,6,3.4894221742520518e-06
"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2,2023,6,1,293,8,11956641.0,5,2,30,2,66,133,B,Minor,93,68,65,42,0,12,25,2.450521011712236e-05
Without Me,Eminem,1,2002,1,1,21081,43,1687664027.0,98,76,"3,889",5,0,112,G,Major,92,67,66,0,0,36,9,1.2491230282056607e-05
QUEMA,"Sog, Ryan Castro, Peso Pluma",3,2023,7,13,437,31,11599388.0,17,29,26,3,208,97,,Major,79,92,89,5,0,6,5,3.767440144255887e-05
Stargirl Interlude,"The Weeknd, Lana Del Rey",2,2016,11,24,1275,32,611700552.0,13,8,5,0,1,90,F,Minor,59,52,48,38,5,10,11,2.08435319509079e-06
Ojitos Lindos,"Bomba Estï¿½ï¿½reo, Bad B",2,2022,5,6,6135,38,1133865788.0,71,113,99,13,28,80,D#,Minor,65,27,69,8,0,53,4,5.410693280393781e-06
Somewhere Only We Know,Keane,1,2004,1,1,20015,16,1089402494.0,107,69,"5,239",0,558,172,A,Major,45,33,59,6,0,8,3,1.837245656241356e-05
Those Eyes,New West,1,2019,5,10,1507,14,411747614.0,24,71,44,1,195,120,E,Major,60,24,35,73,0,31,3,3.6600090656505906e-06
